时间,Milkey Tan(DOH),亚托莉(DOQ),亚托莉(DOT),亚托莉(DOH-d),亚托莉(DOH-api),MPO women's clothing(DOQ),MPO women's clothing(DOT),MPO women's clothing(DOH/3),OolongTea(DOH),龙猫 totoro625(DOH),winter(DOH),夏·祈·枫(DOQ),夏·祈·枫(DOT),夏·祈·枫(DOH-IP),夏·祈·枫(DOH),夏·祈·枫(DOH-CDN-1),夏·祈·枫(DOH-CDN-2),🐱(DOQ),🐱(DOT),🐱(DOH/3),MapleCool(UDP),WoadZS赞助加速(UDP),比拉乌拉赞助加速(UDP),张 果果(DOH/3),张 果果(DOQ),张 果果(DOT)
2024-07-06 01:14:02,30,2000,54,56,94,137,133,154,138,201,196,206,205,237,527,603,1054,1097,1112,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:14:37,21,2000,62,61,117,103,182,189,207,209,180,226,194,175,215,523,571,1060,1084,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:15:13,23,56,64,132,2000,151,162,216,256,250,256,306,315,304,324,619,611,2000,4845,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:18:05,2000,127,49,160,63,88,316,215,306,223,337,333,177,185,347,687,726,1111,2000,1383,2000,2000,2000,2000,2000,2000
2024-07-06 01:18:41,23,57,60,2000,133,169,140,156,154,191,193,155,242,244,240,550,567,1060,1099,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:19:16,29,2000,79,56,58,132,159,164,211,232,215,223,241,270,279,543,620,723,1074,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:19:52,37,63,2000,59,272,263,289,256,228,266,336,231,340,342,300,639,630,1049,1073,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:20:28,24,57,61,138,2000,139,168,175,179,226,252,258,251,251,248,556,630,1061,1090,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:21:03,28,57,2000,146,59,148,190,293,234,247,201,327,308,192,336,635,627,1079,1081,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:21:39,23,51,56,2000,107,130,117,158,161,205,153,232,215,233,248,544,619,1047,1059,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:22:15,25,2000,60,61,186,146,209,288,265,286,272,266,323,231,328,552,581,1038,1095,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:22:51,27,2000,52,58,151,209,191,211,160,170,177,263,269,260,275,591,651,1051,1086,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:23:27,25,2000,65,74,150,178,199,205,178,198,228,254,228,248,233,540,589,1088,1109,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:24:03,23,53,52,2000,114,160,175,154,160,186,215,181,238,216,227,546,618,1052,1072,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:24:38,32,61,59,2000,157,258,238,309,222,273,204,346,144,347,331,616,589,1067,1080,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:27:30,26,2000,53,56,135,182,177,214,234,187,222,212,238,273,278,606,891,1049,1059,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:28:06,29,53,54,2000,113,162,166,241,241,207,230,209,263,247,278,644,1074,1088,2000,4180,2000,2000,2000,2000,2000,2000
2024-07-06 01:28:41,41,64,64,2000,140,179,221,183,212,246,199,239,256,268,267,605,1082,1115,2000,1269,2000,2000,2000,2000,2000,2000
2024-07-06 01:29:17,25,52,60,136,223,152,209,2000,272,293,277,275,345,344,359,634,773,1124,1700,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:29:53,24,2000,52,56,119,116,179,221,222,217,216,159,179,256,264,570,628,1088,1096,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:30:28,35,52,61,2000,231,234,201,293,310,288,336,284,234,325,376,616,707,1130,2000,1409,2000,2000,2000,2000,2000,2000
2024-07-06 01:31:04,21,2000,57,65,114,133,181,174,202,155,174,235,216,236,251,536,591,1052,1085,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:31:40,20,58,63,2000,131,163,144,167,164,183,229,205,232,224,247,601,1055,1078,2000,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:32:15,58,56,108,2000,149,163,152,175,206,214,229,272,268,274,546,601,1068,1100,2000,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:32:51,28,2000,56,54,126,145,166,176,152,168,154,216,198,223,225,617,1043,1061,2000,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:35:42,25,2000,53,55,152,149,163,197,166,187,217,203,243,253,249,649,792,1124,1230,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:38:29,27,53,62,2000,110,146,191,156,195,186,170,166,237,213,248,598,1055,1083,2000,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:39:05,54,35,59,2000,193,212,227,244,284,141,304,314,302,337,226,623,704,1056,1061,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:40:05,40,109,60,2000,396,383,437,592,572,569,684,592,672,553,504,891,1367,1384,2000,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:42:56,45,64,63,124,2000,172,173,272,298,390,378,393,372,351,376,616,762,1082,2000,1517,2000,2000,2000,2000,2000,2000
2024-07-06 01:44:07,25,52,57,112,2000,169,203,204,196,193,217,202,251,256,269,592,1073,1154,2000,2000,2000,2000,2000,2000,2000,2000
